week_id,date,sector,rank,score,grade,status,r1m,r3m,r6m,composite
2026-W24,2026-06-14,Capital Goods,1,100.0,A+,LEADING,2.8,15.46,15.08,12.74
2026-W24,2026-06-14,Metals & Mining,2,91.3,A+,WEAKENING,-7.61,5.09,21.06,10.53
2026-W24,2026-06-14,Media Entertainment & Publication,3,88.4,A,LEADING,8.46,15.09,7.19,9.81
2026-W24,2026-06-14,Textiles,4,82.4,A,LEADING,3.61,16.73,5.08,8.28
2026-W24,2026-06-14,Healthcare,5,81.9,A,WEAKENING,0.75,11.75,8.95,8.15
2026-W24,2026-06-14,Power,6,79.5,B+,WEAKENING,-4.51,13.37,8.86,7.54
2026-W24,2026-06-14,Telecommunication,7,79.1,B+,IMPROVING,5.92,18.63,1.34,7.44
2026-W24,2026-06-14,Services,8,71.9,B+,IMPROVING,2.94,9.02,4.65,5.62
2026-W24,2026-06-14,Automobile and Auto Components,9,67.0,B+,NEUTRAL,1.41,4.67,5.4,4.38
2026-W24,2026-06-14,Chemicals,10,64.6,B+,NEUTRAL,0.27,7.58,2.89,3.77
2026-W24,2026-06-14,Oil Gas & Consumable Fuels,11,58.7,B,NEUTRAL,2.58,0.52,3.22,2.28
2026-W24,2026-06-14,Financial Services,12,47.3,B,NEUTRAL,0.24,3.57,-3.46,-0.61
2026-W24,2026-06-14,Construction,13,40.9,B,NEUTRAL,-3.46,3.18,-4.99,-2.23
2026-W24,2026-06-14,Fast Moving Consumer Goods,14,40.2,B,NEUTRAL,-1.96,2.87,-5.76,-2.41
2026-W24,2026-06-14,Diversified,15,32.3,B,WEAKENING,-8.85,3.84,-7.55,-4.39
2026-W24,2026-06-14,Consumer Durables,16,30.2,C,LAGGING,-3.5,-2.08,-7.24,-4.94
2026-W24,2026-06-14,Construction Materials,17,24.5,C,LAGGING,-4.21,-3.01,-9.24,-6.37
2026-W24,2026-06-14,Realty,18,22.2,C,LAGGING,-0.9,2.42,-15.04,-6.97
2026-W24,2026-06-14,Consumer Services,19,13.4,C,IMPROVING,-0.82,0.81,-18.52,-9.18
2026-W24,2026-06-14,Information Technology,20,0.0,C,IMPROVING,1.64,1.71,-26.85,-12.58
2026-W25,2026-06-15,Capital Goods,1,100.0,A+,LEADING,5.48,19.09,17.08,15.36
2026-W25,2026-06-15,Metals & Mining,2,84.2,A+,WEAKENING,-5.27,4.84,21.95,11.37
2026-W25,2026-06-15,Textiles,3,77.9,A,NEUTRAL,3.23,18.39,7.21,9.77
2026-W25,2026-06-15,Services,4,73.9,A,LEADING,3.32,12.3,8.81,8.76
2026-W25,2026-06-15,Telecommunication,5,71.5,A,IMPROVING,8.02,17.46,2.61,8.15
2026-W25,2026-06-15,Healthcare,6,70.9,B+,WEAKENING,0.21,12.58,8.36,8.0
2026-W25,2026-06-15,Media Entertainment & Publication,7,70.8,B+,WEAKENING,3.29,13.34,6.62,7.97
2026-W25,2026-06-15,Automobile and Auto Components,8,66.2,B+,NEUTRAL,4.62,7.15,7.5,6.82
2026-W25,2026-06-15,Power,9,64.5,B+,WEAKENING,-3.65,7.14,9.94,6.38
2026-W25,2026-06-15,Oil Gas & Consumable Fuels,10,57.6,B+,IMPROVING,9.03,2.7,4.05,4.64
2026-W25,2026-06-15,Chemicals,11,56.4,B,NEUTRAL,1.22,8.29,3.24,4.35
2026-W25,2026-06-15,Financial Services,12,48.2,B,IMPROVING,3.8,7.94,-1.75,2.27
2026-W25,2026-06-15,Construction,13,37.4,B,NEUTRAL,-1.72,5.53,-3.57,-0.47
2026-W25,2026-06-15,Fast Moving Consumer Goods,14,34.6,B,NEUTRAL,-2.22,6.17,-5.17,-1.18
2026-W25,2026-06-15,Construction Materials,15,32.8,B,NEUTRAL,-0.64,3.36,-5.0,-1.62
2026-W25,2026-06-15,Consumer Durables,16,30.9,C,LAGGING,0.33,-0.38,-4.12,-2.11
2026-W25,2026-06-15,Realty,17,29.5,C,IMPROVING,3.95,8.26,-11.48,-2.47
2026-W25,2026-06-15,Diversified,18,20.5,C,LAGGING,-5.3,2.77,-9.05,-4.75
2026-W25,2026-06-15,Consumer Services,19,16.2,C,IMPROVING,2.13,5.15,-15.6,-5.83
2026-W25,2026-06-15,Information Technology,20,0.0,C,IMPROVING,1.72,5.49,-23.82,-9.92
